id,user_id,text,date,group_id
1,29,My taste buds are still dancing from our last visit! Everything was simply decadent. The desserts must be sprinkled with crack because I just craved for more and more.,7/14/2021,6
2,70,"I was pleasantly surprised. I found the ambiance to be very charming. After my meal, I was knocked into a food coma. Everything was just so yummy. Everything I tried was bursting with flavor. ",6/11/2021,2
3,26,Decent place. The desserts must be sprinkled with crack because I just craved for more and more. I found the ambiance to be very charming. The chicken was a little dry.,5/18/2021,8
4,32,I have been here several times before. The steak was a little dry. The decor was unique and incredible. I removed a star because the hostess touched the rim of my wine glass.,7/11/2021,3
5,6,"I stumbled on this undiscovered gem right in our neighboorhood. Everything I tried was bursting with flavor. After my meal, I was knocked into a food coma. ",6/7/2021,7
6,18,"I was pleasantly surprised. I found the entrees to be very agreeable to my personal flavor-profile. I found the ambiance to be very charming. Make sure to save room for dessert, because that was the best part of the meal!",6/3/2021,5
7,60,I have been here several times before. I found the entrees to be very agreeable to my personal flavor-profile. The service was good for the most part but the waitress was a bit air-headed.,6/30/2021,10
8,17,"I stumbled on this undiscovered gem right in our neighboorhood. Everything was just so yummy. The ambiance gives off an earthy feel-good vibe. The waitress was prompt and polite. Make sure to save room for dessert, because that was the best part of the meal! I would have rated this higher, but my coffee mug was dirty.",6/6/2021,10
9,58,"I have been here several times before. The waitress was prompt and polite. The food was flavorful, savory, and succulent. I was happy to see how clean everything was. After my meal, I was knocked into a food coma.",6/14/2021,1
10,18,"I stumbled on this undiscovered gem right in our neighboorhood. I was happy to see how clean everything was. Everything I tried was bursting with flavor. After my meal, I was knocked into a food coma. This is definitely a spot I'll be frequenting.",6/16/2021,8
11,86,"It was much better than I expected. Everything was simply decadent. Try out the huge selection of incredible appetizers. The waiter was prompt and polite. Make sure to save room for dessert, because that was the best part of the meal!",6/16/2021,1
12,93,Decent place. Overhyped. The waiter was barely there. The menu didn't match the one on their website. Might be back. Time will tell.,6/23/2021,6
13,92,Decent place. The ambiance gives off an earthy feel-good vibe. The entree I had was sublime. The service wasn't that good and the waitress was slow. Might be back.,6/5/2021,2
14,64,This place had a lot of heart. The pork was undercooked. The ambiance gives off an earthy feel-good vibe. I would probably come back more often if the service was better.,6/14/2021,5
15,85,"This place was just ok. The waitress was nothing remarkable. The photos of the food were appetizing and palpable, but didn't live up to the hype. The whole place was just dirty.",5/18/2021,9
